Show,Character,English Voice,Source
Miraculous: Tales of Ladybug & Cat Noir,Marinette Dupain-Cheng / Ladybug,Cristina Vee,BTVA / Wikipedia
Miraculous: Tales of Ladybug & Cat Noir,Adrien Agreste / Cat Noir,Bryce Papenbrook,BTVA / Wikipedia
Miraculous: Tales of Ladybug & Cat Noir,Gabriel Agreste / Hawk Moth,Keith Silverstein,BTVA / Wikipedia
Miraculous: Tales of Ladybug & Cat Noir,Alya Césaire / Rena Rouge,Carrie Keranen,BTVA
Miraculous: Tales of Ladybug & Cat Noir,Chloé Bourgeois / Queen Bee,Selah Victor,Wikipedia
Miraculous: Tales of Ladybug & Cat Noir,Nino Lahiffe / Carapace,Ben Diskin,Wikipedia
Miraculous: Tales of Ladybug & Cat Noir,Tikki,Mela Lee,Wikipedia
Miraculous: Tales of Ladybug & Cat Noir,Plagg,Max Mittelman,Wikipedia
